agno,mes,RBD,%Asistencia,Matrícula,RBD_Establecimiento,Enseñanza,Nivel,Letra
2025,1.Marzo,10542,0.85,13,10542 Centro Educacional Baldomero Lillo,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10542,0.81,14,10542 Centro Educacional Baldomero Lillo,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10542,0.82,18,10542 Centro Educacional Baldomero Lillo,110,1° Básico,A
2025,1.Marzo,10542,0.86,17,10542 Centro Educacional Baldomero Lillo,110,1° Básico,B
2025,1.Marzo,10542,0.87,31,10542 Centro Educacional Baldomero Lillo,110,2° Básico,A
2025,1.Marzo,10542,0.82,31,10542 Centro Educacional Baldomero Lillo,110,3° Básico,A
2025,1.Marzo,10542,0.83,26,10542 Centro Educacional Baldomero Lillo,110,4° Básico,A
2025,1.Marzo,10542,0.82,18,10542 Centro Educacional Baldomero Lillo,110,5° Básico,A
2025,1.Marzo,10542,0.84,20,10542 Centro Educacional Baldomero Lillo,110,5° Básico,B
2025,1.Marzo,10542,0.85,28,10542 Centro Educacional Baldomero Lillo,110,6° Básico,A
2025,1.Marzo,10542,0.88,35,10542 Centro Educacional Baldomero Lillo,110,7° Básico,A
2025,1.Marzo,10542,0.87,31,10542 Centro Educacional Baldomero Lillo,110,8° Básico,A
2025,1.Marzo,10542,0.88,31,10542 Centro Educacional Baldomero Lillo,110,8° Básico,B
2025,1.Marzo,10542,0.73,33,10542 Centro Educacional Baldomero Lillo,310,I° Medio,A
2025,1.Marzo,10542,0.83,32,10542 Centro Educacional Baldomero Lillo,310,I° Medio,B
2025,1.Marzo,10542,0.79,34,10542 Centro Educacional Baldomero Lillo,310,I° Medio,C
2025,1.Marzo,10542,0.76,25,10542 Centro Educacional Baldomero Lillo,310,II° Medio,A
2025,1.Marzo,10542,0.78,25,10542 Centro Educacional Baldomero Lillo,310,II° Medio,B
2025,1.Marzo,10542,0.84,25,10542 Centro Educacional Baldomero Lillo,310,II° Medio,C
2025,1.Marzo,10542,0.78,25,10542 Centro Educacional Baldomero Lillo,310,II° Medio,D
2025,1.Marzo,10542,0.84,16,10542 Centro Educacional Baldomero Lillo,410,III° Medio,A
