agno;mes;RBD;Establecimiento;Codigo;Enseñanza;Nivel;Letra;Porc_de_Asistencia;Matrícula_cierre_mes;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;10;Educación Parvularia;1er nivel de Transición (Prekinder);A;85%;13;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;10;Educación Parvularia;2° nivel de Transición (Kinder);A;81%;14;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;1° básico;A;82%;18;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;1° básico;B;86%;17;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;2° básico;A;87%;31;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;3° básico;A;82%;31;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;4° básico;A;83%;26;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;5° básico;A;82%;18;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;5° básico;B;84%;20;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;6° básico;A;85%;28;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;7° básico;A;88%;35;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;8° básico;A;87%;31;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;110;Enseñanza Básica;8° básico;B;88%;31;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;A;73%;33;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;B;83%;32;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;C;79%;34;;;;;;
2025;1.Marzo;10542;Centro Educacional Baldomero Lillo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;A;76%;25;;;;;;
